label,text
1,URGENT! Verify your bank account immediately at http://secure-login.com
0,Your order has been shipped successfully
0,Your order has been shipped successfully
1,URGENT! Verify your bank account immediately at http://secure-login.com
0,Let me know your availability for the call
0,Please find the attached report for review
0,Please find the attached report for review
1,Congratulations! You won a lottery of ₹849069. Click now
0,Your order has been shipped successfully
0,Please find the attached report for review
0,Let me know your availability for the call
0,Please find the attached report for review
0,Thank you for your support
0,Your order has been shipped successfully
1,Your account has been compromised. Reset password now
0,Let me know your availability for the call
0,Thank you for your support
0,Please find the attached report for review
0,Let me know your availability for the call
1,Your account has been compromised. Reset password now
1,Congratulations! You won a lottery of ₹294180. Click now
0,Please find the attached report for review
0,Let me know your availability for the call
1,Limited time offer! Claim your reward now
1,Congratulations! You won a lottery of ₹814938. Click now
0,Your order has been shipped successfully
0,Your order has been shipped successfully
0,"Hi, are we meeting tomorrow at the office?"
1,URGENT! Verify your bank account immediately at http://secure-login.com
1,Your KYC is pending. Update immediately to avoid suspension
0,Your order has been shipped successfully
0,Your order has been shipped successfully
1,Limited time offer! Claim your reward now
1,URGENT! Verify your bank account immediately at http://secure-login.com
0,Your order has been shipped successfully
1,Your KYC is pending. Update immediately to avoid suspension
0,Please find the attached report for review
1,Your account has been compromised. Reset password now
1,Your KYC is pending. Update immediately to avoid suspension
0,Please find the attached report for review
0,Please find the attached report for review
0,Your order has been shipped successfully
1,Your KYC is pending. Update immediately to avoid suspension
0,Let me know your availability for the call
1,Limited time offer! Claim your reward now
1,Your account has been compromised. Reset password now
1,URGENT! Verify your bank account immediately at http://secure-login.com
1,Your account has been compromised. Reset password now
1,Your account has been compromised. Reset password now
0,Your order has been shipped successfully
0,Your order has been shipped successfully
0,Your order has been shipped successfully
1,Your account has been compromised. Reset password now
1,Congratulations! You won a lottery of ₹562313. Click now
1,Your account has been compromised. Reset password now
1,URGENT! Verify your bank account immediately at http://secure-login.com
0,Please find the attached report for review
0,Thank you for your support
0,Let me know your availability for the call
1,URGENT! Verify your bank account immediately at http://secure-login.com
1,Your account has been compromised. Reset password now
1,Your KYC is pending. Update immediately to avoid suspension
0,"Hi, are we meeting tomorrow at the office?"
0,Let me know your availability for the call
1,Limited time offer! Claim your reward now
0,Let me know your availability for the call
0,Your order has been shipped successfully
1,URGENT! Verify your bank account immediately at http://secure-login.com
0,Let me know your availability for the call
0,Your order has been shipped successfully
1,Your KYC is pending. Update immediately to avoid suspension
1,Your KYC is pending. Update immediately to avoid suspension
0,Your order has been shipped successfully
1,Your account has been compromised. Reset password now
0,Your order has been shipped successfully
0,Please find the attached report for review
1,Congratulations! You won a lottery of ₹675250. Click now
0,Thank you for your support
0,Thank you for your support
1,Congratulations! You won a lottery of ₹604223. Click now
1,Your account has been compromised. Reset password now
1,URGENT! Verify your bank account immediately at http://secure-login.com
1,URGENT! Verify your bank account immediately at http://secure-login.com
1,Your KYC is pending. Update immediately to avoid suspension
0,"Hi, are we meeting tomorrow at the office?"
0,Thank you for your support
1,URGENT! Verify your bank account immediately at http://secure-login.com
1,Limited time offer! Claim your reward now
0,Your order has been shipped successfully
1,Congratulations! You won a lottery of ₹10515. Click now
1,Your account has been compromised. Reset password now
1,URGENT! Verify your bank account immediately at http://secure-login.com
0,Please find the attached report for review
0,Let me know your availability for the call
1,Your account has been compromised. Reset password now
1,Limited time offer! Claim your reward now
0,"Hi, are we meeting tomorrow at the office?"
0,Let me know your availability for the call
0,Thank you for your support
0,Let me know your availability for the call
0,Your order has been shipped successfully
1,Congratulations! You won a lottery of ₹571462. Click now
1,URGENT! Verify your bank account immediately at http://secure-login.com
1,Your KYC is pending. Update immediately to avoid suspension
1,Your KYC is pending. Update immediately to avoid suspension
1,Limited time offer! Claim your reward now
0,Please find the attached report for review
1,Your account has been compromised. Reset password now
0,Your order has been shipped successfully
0,Let me know your availability for the call
0,Thank you for your support
1,Limited time offer! Claim your reward now
1,Your KYC is pending. Update immediately to avoid suspension
0,Please find the attached report for review
1,Congratulations! You won a lottery of ₹752394. Click now
1,Your account has been compromised. Reset password now
1,Your KYC is pending. Update immediately to avoid suspension
